software_name,description
AWS Cloud Services,Various AWS cloud services subscribed by Bio-Rad under Enterprise Account agreement.
Microsoft EA and Unified Phone Shared Services,Enterprise global licenses from Microsoft including unified and phone shared services contracts.
SAP CRM,"Customer Relationship Management application for Sales, Service, Marketing, Compliance, Legal, Supply Chain, Product Development, etc."
Veeva Systems,"ERP system for sales, supply chain, and finance transactions."
Snowflake,"Cloud-based data storage and analytics service, Enterprise edition for US-West region."
SuccessFactors,Cloud-based human capital management software using SaaS model.
Oracle EPM,Demand and Supply planning system with consolidation and close support.
Oracle CPQ,Streamlines opportunity-to-quote-to-order process with Oracle CPQ Enterprise Edition Cloud Service.
Concur,"Travel and expense management solutions with online booking tools, mobile expense tracking, and automated policy enforcement."
SAP GTS,Automates and streamlines global trade processes including import/export compliance.
Vertex,"Automates tax processes, integrates with SAP ECC for compliance."
SAP Blackline,Cloud-based service to automate and control financial close process.
Paymetric,Integrated cloud solution to secure and streamline credit card payment acceptance.
Sovos Brazil,Tax compliance and regulatory solutions for Brazilian market.
Cisco,Network Access Control solution for Zero Trust Architecture.
Qlik,Data integration products for operational data and management reports.
Veritas,"Storage for Network file share drive, execution management, and process mining software."
Docusign,"Document signing software services, eSignature Enterprise Pro Edition."
Gartner,"Research and consulting services, executive program licenses."
Qualys,Cybersecurity and compliance tools including VMDR Bundle and policy compliance.
Jira,Issue Project Tracking Software.
Matillion,"ETL - Operational data and management reports, Enterprise contract subscription."
Innovit,Software to capture and enhance data sent to regulatory agencies.
ETQ,"Cloud-based eQMS used in NorCal, to be decommissioned soon."
Acquia,Content Management System and site search platform with cloud subscriptions.
Taulia,Invoice management solution for streamlining invoicing process.
BMC control M,Integrates and automates cross-platform IT and business processes.
Ariba,Procurement platform for B2B business.
Worksoft,Automated testing tool for SAP.
Okta,"Used for authentication, phasing out during 2024."
SiemensECTR,SAP Engineering Control Center integration platform.
Cadency,Account Reconciliation and Journal Management system.
Sparta Systems,Salesforce based system for product registration and documentation for regulated markets.
Commvault,"Data protection and management software, backup recovery services."
Thycotic Delinea,Cybersecurity for privileged access management.
LRS,Output and Print Management software including VPSXWORKPLACE.
Adobe Analytics,"Analytics tool for measuring Bio-Rad usage, including Adobe target premium."
Accuity,Services and integration for banking fraud reduction.
SUSE Linux Enterprise Server,"Datacenter deployment, lifecycle management licenses."
Avepoint,Cloud archiving for SharePoint storage.
Vertex Versa,Tax automation and compliance integration with SAP ECC.
Open Text,Used to receive Credit card orders from Customers via EDI into SAP. Monthly Message Delivery and Managed Integration Services Fees.
SHARP BUSINESS - Papercut MFCs,Papercut licenses and print management subscription with 1 year ProServices Support.
Bitsight,Cyber Risk Management Solution; subscription to SPM Standard E for External Attack Surface Management.
Patch My PC,Enterprise plus license for automated third-party updates and base install applications in Configuration Manager and Microsoft Intune.
Ivanti Velocity,Web and MDM subscriptions for asset management and remote inventory.
TeamViewer,Remote desktop and collaboration software for accessing and controlling computers remotely.
Vertiv,UPS provider services.
Lexmark,Managed Print Services for specified locations under government contractual requirement.
Veracode EMEA,Veracode EMEA software solution
Iron Mountain,"Outsourcing storage media, backups, standard, premium, and custom storage services."
Salesforce Analytics,Additional analytics capabilities and contracts ending in 2025.
Contact Monkey,Email communications platform.
Atrify,"Platform to manage and exchange product information, automated M2M connection for suppliers."
Google Cloud Liaison,Used for translation via API to Google for non-English information.
FLOSUM,Salesforce administration utility for change management and deployment.
Nirad,"Network management, cloud management, out of band management subscriptions."
Seeburger,B2B EDI integration and cloud subscription.
Klearcom,Third-party risk management for security and privacy.
DNN,Open source CMS and application development framework providing Evoq Engage licenses.
Audiocodes,Advanced voice networking and media processing hardware maintenance.
Orbit Treasury,"Cash management, liquidity management, financial risk management tools."
Sage 1000,ERP solution for medium to large businesses with end-of-life status.
Minitab,Data analysis and statistical process improvement software licenses.
Diligent Corp,Governance software for executive board meetings.
Microsoft PowerBI,Business intelligence software cross charged across teams.
Quest,Active Directory tool for backup recovery and monitoring.
EDICOM,Tax reporting software in various countries.
Valimail,Email authentication and third-party email management.
IBM Sterling,Integrator used for complex EDI processes for thousands of customers.
Winshuttle,Data management and automation software for SAP.
Zoom,Video conferencing platform for online meetings and webinars.
Tungsten Automation,Vendor invoice workflow process maintenance services.
UiPath,Robotic process automation software for automating repetitive tasks.
Riskonnect,Salesforce platform application for third-party compliance tracking.
Active Control,"Management system licenses covering ECCERI, APOSCM, GTS, EWM, PI systems."
Cloudability,Cloud financial management platform for AWS and Azure.
NeoLoad,Load test tool replacement for LoadNinja.
DESCARTES,Logistics and supply chain management software.
Hackerone,Cybersecurity hacker-powered platform subscription.
BluJay,Supply chain software and services.
Bigcommerce,Vendor for BRC shopping cart with Enterprise plan.
CSC,Domain management services for Bio-Rad.
SNI,Maintenance cloud services with yearly renewal for tax authority updates.
Refinitiv,"Financial market data, analytics, and trading solutions for Treasury team."
Onetrust,Third-party risk management for security privacy standard cloud license.
Leverx,SAP PLM software maintenance contract.
Smartsheet,Collaboration and work management SaaS platform used by different departments.
Specops,Password security subscription for Active Directory.
REQUORDIT,Document management system for legal department and process documents.
Dotcom-Monitor,Real-time website and application monitoring services.
Cobalt Strike,Penetration testing software with licenses used by Infosec team.
Validity,Data validation and quality software.
Visio,Diagramming and vector graphics software.
SHARP BUSINESS - Papercut,Print management cloud-native subscription with ProServices Support.
